cpu_percent,memory_percent,num_threads,num_connections,label
3099.3,0.0,1.0,17.0,1
4.7,0.0,1.0,15.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,1.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.6,0.0,1.0,2.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.6,0.0,1.0,12.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,10.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,4.0,0
0.0,0.0,1.0,0.0,0
0.6,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,2.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.6,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,0
